epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.644,1.61792,3.6557,1.72174,0.00298,0.26471,0.00811,0.00161,0.85418,4.12601,1.32395,7.145e-05,7.145e-05,7.145e-05
2,167.968,1.51409,3.41976,1.54358,0.00654,0.58987,0.14402,0.04029,0.75699,3.80857,1.04196,0.000154078,0.000154078,0.000154078
3,221.481,1.43314,3.00147,1.40924,0.01133,0.87418,0.28631,0.12397,0.95581,3.74901,1.09276,0.00023331,0.00023331,0.00023331
4,273.852,1.39146,2.5871,1.35243,0.01326,0.79085,0.36337,0.13976,1.02048,3.75567,1.22342,0.000309147,0.000309147,0.000309147
5,328.021,1.39116,2.29736,1.36455,0.00937,0.76307,0.45885,0.17232,1.08072,3.6919,1.24654,0.000381589,0.000381589,0.000381589
6,379.383,1.40061,1.99723,1.36586,0.00743,0.64052,0.21437,0.07818,1.25457,3.7637,1.41257,0.000450635,0.000450635,0.000450635
7,430.28,1.33671,1.81795,1.3713,0.89968,0.16664,0.54553,0.21079,1.22062,3.34313,1.22909,0.000516286,0.000516286,0.000516286
8,481.39,1.34132,1.63974,1.33264,0.89052,0.36163,0.66146,0.4713,0.9624,2.86228,0.93882,0.000578542,0.000578542,0.000578542
9,530.751,1.34945,1.47283,1.28544,0.90526,0.36206,0.7017,0.50361,0.89772,2.73495,0.92482,0.000637403,0.000637403,0.000637403
10,580.509,1.22411,1.36434,1.23357,0.90944,0.58266,0.82511,0.59542,0.95715,2.46611,0.93316,0.000692868,0.000692868,0.000692868
11,633.324,1.1356,1.33441,1.20085,0.87423,0.57142,0.81551,0.5731,0.9855,2.46966,0.99889,0.000744938,0.000744938,0.000744938
12,684.121,1.12125,1.2009,1.17867,0.73289,0.52782,0.76867,0.55977,1.01717,2.41759,0.97468,0.000793612,0.000793612,0.000793612
13,732.861,1.17654,1.26105,1.1987,0.74019,0.59526,0.77775,0.58989,0.954,2.40428,0.94283,0.000838892,0.000838892,0.000838892
14,783.892,1.12832,1.19226,1.15716,0.88727,0.75705,0.81843,0.59945,0.97603,2.0954,0.98798,0.000880776,0.000880776,0.000880776
15,831.895,1.19564,1.18323,1.23639,0.83002,0.67272,0.79579,0.46438,1.25153,2.43273,1.24315,0.000919264,0.000919264,0.000919264
16,880.248,1.1511,1.17401,1.21065,0.88351,0.73253,0.83686,0.61456,1.02779,2.07091,1.01707,0.000954358,0.000954358,0.000954358
17,931.279,1.15776,1.14337,1.19951,0.80966,0.6794,0.79884,0.38696,1.63626,2.25371,1.43191,0.000976293,0.000976293,0.000976293
18,979.823,1.09961,1.09096,1.15014,0.8128,0.70258,0.7894,0.46083,1.45757,2.081,1.28651,0.000947999,0.000947999,0.000947999
19,1029.06,1.11715,1.12768,1.17772,0.84822,0.70752,0.76824,0.45843,1.36242,1.95808,1.2046,0.000919704,0.000919704,0.000919704
20,1078.27,1.11619,1.04977,1.17277,0.85186,0.78439,0.82673,0.65373,0.89773,1.50689,0.98953,0.00089141,0.00089141,0.00089141
21,1129.84,1.2174,1.13222,1.21859,0.90298,0.80579,0.88501,0.59317,1.21014,1.41193,1.16377,0.000863116,0.000863116,0.000863116
22,1178.21,1.08356,1.06513,1.1611,0.94467,0.86051,0.90042,0.68531,0.93671,1.22403,1.01853,0.000834822,0.000834822,0.000834822
23,1226.58,1.10579,1.09509,1.17623,0.92485,0.83031,0.929,0.52466,1.5655,1.32718,1.33657,0.000806528,0.000806528,0.000806528
24,1276.2,1.09634,1.0302,1.15088,0.90102,0.85165,0.91903,0.71015,0.89792,1.2019,0.98341,0.000778233,0.000778233,0.000778233
25,1325.71,0.97509,0.95209,1.11143,0.93352,0.8317,0.91465,0.68553,0.89752,1.11026,0.96418,0.000749939,0.000749939,0.000749939
26,1375.07,1.03728,0.92936,1.11209,0.93147,0.80802,0.93071,0.74522,0.80516,0.98452,0.94135,0.000721645,0.000721645,0.000721645
27,1425.39,0.94391,0.90927,1.09422,0.9126,0.87621,0.92533,0.72817,0.85342,1.06772,0.95292,0.000693351,0.000693351,0.000693351
28,1474.58,1.03425,0.92533,1.11133,0.9824,0.78212,0.90935,0.73024,0.83985,1.08792,0.96175,0.000665057,0.000665057,0.000665057
29,1524.31,1.00117,0.8936,1.13528,0.87787,0.86036,0.91368,0.68496,0.87421,0.98533,0.9665,0.000636762,0.000636762,0.000636762
30,1573.6,1.02373,0.9031,1.13393,0.85179,0.90523,0.93458,0.73234,0.83242,0.92051,0.95028,0.000608468,0.000608468,0.000608468
31,1622.9,0.97258,0.87157,1.09437,0.91231,0.87428,0.94238,0.71952,0.88835,0.93637,1.00975,0.000580174,0.000580174,0.000580174
