epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.824,1.58395,3.61603,1.64384,0.00618,0.52614,0.06889,0.0143,0.80218,3.83546,1.04618,0.00015719,0.00015719,0.00015719
2,227.087,1.50549,3.036,1.476,0.00856,0.77124,0.24378,0.08124,0.99714,3.77827,1.1615,0.000325416,0.000325416,0.000325416
3,323.16,1.47354,2.61718,1.41455,0.00841,0.6683,0.36597,0.14164,1.12104,3.81728,1.32754,0.000490247,0.000490247,0.000490247
4,417.066,1.40372,2.20463,1.45517,0.55606,0.10842,0.40818,0.17851,1.19857,3.43102,1.28399,0.000651683,0.000651683,0.000651683
5,508.049,1.43403,2.04906,1.43279,0.96704,0.33702,0.75109,0.4143,1.31397,2.9387,1.23044,0.000809723,0.000809723,0.000809723
6,596.671,1.43931,1.82678,1.40887,0.81782,0.54907,0.76677,0.36823,1.33005,2.63712,1.34596,0.000964368,0.000964368,0.000964368
7,688.381,1.46552,1.82045,1.46858,0.92074,0.56924,0.80501,0.58789,0.99018,2.32545,1.01469,0.00111562,0.00111562,0.00111562
8,779.067,1.34224,1.66303,1.3568,0.75797,0.7564,0.81495,0.56946,1.12123,1.98501,1.1145,0.00126347,0.00126347,0.00126347
9,876.736,1.30127,1.47035,1.30656,0.72949,0.69442,0.8228,0.58374,1.07552,1.93796,1.03688,0.00131582,0.00131582,0.00131582
10,962.657,1.35824,1.49571,1.32633,0.8636,0.7227,0.83677,0.58803,1.03871,1.69381,1.03573,0.00130168,0.00130168,0.00130168
11,1040.89,1.28497,1.3647,1.30213,0.77778,0.82105,0.8757,0.57202,1.17758,1.68427,1.20178,0.00128753,0.00128753,0.00128753
12,1125.99,1.25509,1.37993,1.30983,0.94275,0.81454,0.90904,0.65318,0.99553,1.47038,1.16567,0.00127338,0.00127338,0.00127338
13,1212.81,1.16774,1.28042,1.25312,0.77522,0.79273,0.89671,0.70215,0.86003,1.36046,0.98058,0.00125923,0.00125923,0.00125923
14,1300.81,1.18496,1.26063,1.20727,0.8312,0.8268,0.88698,0.64214,0.95773,1.49801,1.02524,0.00124509,0.00124509,0.00124509
15,1387.3,1.2629,1.30625,1.28601,0.77501,0.94484,0.94577,0.42696,1.56331,1.82222,1.50836,0.00123094,0.00123094,0.00123094
16,1481.28,1.28915,1.33263,1.2523,0.80646,0.88562,0.94633,0.42678,1.71019,1.64849,1.60577,0.00121679,0.00121679,0.00121679
17,1580.76,1.22089,1.24787,1.23441,0.77679,0.90121,0.92817,0.63488,1.05408,1.3375,1.14615,0.00120265,0.00120265,0.00120265
18,1674.37,1.20093,1.19302,1.22935,0.84607,0.89065,0.90041,0.68313,0.84579,1.21444,1.00742,0.0011885,0.0011885,0.0011885
19,1769.18,1.19883,1.13882,1.23835,0.70069,0.88138,0.82475,0.58563,1.02928,1.62639,1.13216,0.00117435,0.00117435,0.00117435
20,1861.88,1.16062,1.10299,1.23254,0.86728,0.77646,0.88408,0.64598,0.97215,1.21942,1.05564,0.00116021,0.00116021,0.00116021
21,1958.65,1.18595,1.18636,1.23951,0.95525,0.8176,0.91505,0.73353,0.8486,1.32249,0.96889,0.00114606,0.00114606,0.00114606
22,2044.13,1.14427,1.10017,1.21862,0.9333,0.86115,0.89964,0.72527,0.79065,1.05882,0.96162,0.00113191,0.00113191,0.00113191
23,2126.68,1.1172,1.07356,1.22196,0.79062,0.80054,0.88517,0.68416,0.82026,1.28591,0.98804,0.00111776,0.00111776,0.00111776
24,2201.71,1.165,1.07491,1.24225,0.92809,0.8209,0.92081,0.71041,0.84462,1.07592,0.99381,0.00110362,0.00110362,0.00110362
25,2280.4,1.20453,1.0755,1.25954,0.93592,0.85465,0.94876,0.69448,0.95737,1.01137,1.03821,0.00108947,0.00108947,0.00108947
26,2357.37,1.10706,0.96407,1.19711,0.93695,0.87418,0.94008,0.66646,1.01188,0.96431,1.11133,0.00107532,0.00107532,0.00107532
27,2442.56,1.14767,1.00183,1.20055,0.94169,0.88249,0.93512,0.62842,1.09245,0.95859,1.20467,0.00106118,0.00106118,0.00106118
28,2529.15,1.10407,0.95278,1.19306,0.97486,0.83769,0.94077,0.61931,1.16007,1.00085,1.20902,0.00104703,0.00104703,0.00104703
29,2614.13,1.0582,0.94985,1.17582,0.92889,0.90738,0.9529,0.69126,0.97903,0.95563,1.09181,0.00103288,0.00103288,0.00103288
30,2701.29,1.14433,0.99294,1.19765,0.94454,0.90306,0.95316,0.68891,1.01659,0.96686,1.10415,0.00101873,0.00101873,0.00101873
31,2781.65,1.11251,0.91998,1.18926,0.90632,0.89465,0.93181,0.73085,0.87501,0.92915,1.01895,0.00100459,0.00100459,0.00100459
32,2866.4,1.07393,0.91887,1.17297,0.78243,0.90439,0.94888,0.7498,0.80329,0.89127,0.9636,0.00099044,0.00099044,0.00099044
33,2947.37,1.14579,0.90334,1.18784,0.91588,0.92484,0.96387,0.7347,0.94757,0.88517,1.03366,0.000976293,0.000976293,0.000976293
